date,fund,company,ticker,cusip,shares,market cap,weight,shares_diff,cap_diff,weight_diff
9/23/2020,ARKK,TESLA INC,TSLA,88160R101,2196179.0,835338644.44,10.02,151904.0,-31904138.81,0.0
9/23/2020,ARKK,SQUARE INC - A,SQ,852234103,3444344.0,515239418.96,6.18,16335.0,-18124501.35,0.02
9/23/2020,ARKK,ROKU INC,ROKU,77543R102,2449499.0,458668687.75,5.5,-55795.0,-26832236.51,-0.11
9/23/2020,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5081416.0,430345121.04,5.16,24102.0,-18794935.3,-0.03
9/23/2020,ARKK,PROTO LABS INC,PRLB,743713109,2339067.0,299985342.75,3.6,11097.0,-11729840.25,0.0
9/23/2020,ARKK,ZILLOW GROUP INC - C,Z,98954M200,2915542.0,280825005.44,3.37,-114659.0,-19740631.75,-0.1
9/23/2020,ARKK,2U INC,TWOU,90214J101,8076762.0,273721464.18,3.28,38313.0,-2158105.5,0.09
9/23/2020,ARKK,LENDINGTREE INC,TREE UW,52603B107,819792.0,242846984.16,2.91,3888.0,-1548900.0,0.09
9/23/2020,ARKK,TELADOC HEALTH INC,TDOC,87918A105,1140463.0,238607668.86,2.86,5409.0,-5746756.26,0.04
9/23/2020,ARKK,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,9150567.0,241300451.79,2.9,43407.0,780356.19,0.12
9/23/2020,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,7101867.0,223353717.15,2.68,33687.0,-8199859.65,0.01
9/23/2020,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,14134067.0,204943971.5,2.46,67050.0,-9296697.41,-0.01
9/23/2020,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,7993278.0,203588790.66,2.44,16419.0,-7718204.25,0.0
9/23/2020,ARKK,COMPUGEN LTD,CGEN,M25722105,11511225.0,187632967.5,2.25,-12108.0,-15753859.95,-0.1
9/23/2020,ARKK,PAGERDUTY INC,PD,69553P100,6570988.0,170977107.76,2.05,31167.0,-4224696.83,0.03
9/23/2020,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,4901609.0,163419644.06,1.96,23247.0,-54266.56,0.07
9/23/2020,ARKK,ILLUMINA INC,ILMN,452327109,583645.0,159335085.0,1.91,2772.0,3364875.77,0.11
9/23/2020,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,622303.0,146272320.15,1.76,2952.0,-2997464.36,0.04
9/23/2020,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,4679135.0,149732320.0,1.8,22194.0,1967582.07,0.09
9/23/2020,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,1657156.0,129125595.52,1.55,7857.0,-3609988.0,0.02
9/23/2020,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,2777744.0,121192970.72,1.45,774.0,-5936715.88,-0.02
9/23/2020,ARKK,SPLUNK INC,SPLK,848637104,681816.0,121008703.68,1.45,3231.0,-4482020.37,0.0
9/23/2020,ARKK,VERACYTE INC,VCYT,92337F107,3888335.0,113578265.35,1.36,18441.0,-8594288.23,-0.05
9/23/2020,ARKK,CERUS CORP,CERS,157085101,19113904.0,112580894.56,1.35,90675.0,-6124054.4,-0.02
9/23/2020,ARKK,TWILIO INC - A,TWLO,90138F102,483537.0,112180584.0,1.35,2295.0,-1873770.0,0.03
9/23/2020,ARKK,HUYA INC-ADR,HUYA,44852D108,4170326.0,104841995.64,1.26,19782.0,-3819246.28,0.0
9/23/2020,ARKK,DOCUSIGN INC,DOCU,256163106,509168.0,107699215.36,1.29,2412.0,201065.08,0.05
9/23/2020,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,2515128.0,99473312.4,1.19,11934.0,-2031204.3,0.02
9/23/2020,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1353753.0,87601356.63,1.05,6426.0,-2292300.81,0.01
9/23/2020,ARKK,ZSCALER INC,ZS,98980G102,622399.0,84403528.39,1.01,2952.0,-1073963.14,0.02
9/23/2020,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,830637.0,80571789.0,0.97,3942.0,-1105677.0,0.03
9/23/2020,ARKK,SYNOPSYS INC,SNPS,871607107,395649.0,78283111.14,0.94,1881.0,-2360575.26,0.01
9/23/2020,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,2997985.0,72611196.7,0.87,14220.0,-3176434.3,-0.01
9/23/2020,ARKK,FACEBOOK INC-CLASS A,FB,30303M102,299861.0,74671386.22,0.9,1422.0,-1355949.03,0.02
9/23/2020,ARKK,XILINX INC,XLNX,983919101,706907.0,68774982.03,0.83,-33124.0,-5242918.59,-0.03
